GEO_ID,County,Mean Income
0500000US06011,"Colusa County, California",82313
0500000US06013,"Contra Costa County, California",128079
0500000US06015,"Del Norte County, California",61652
0500000US06017,"El Dorado County, California",104895
0500000US06019,"Fresno County, California",71663
0500000US06021,"Glenn County, California",60614
0500000US06023,"Humboldt County, California",63753
0500000US06025,"Imperial County, California",63186
0500000US06027,"Inyo County, California",68448
0500000US06029,"Kern County, California",71440
0500000US06031,"Kings County, California",69985
0500000US06033,"Lake County, California",60847
0500000US06035,"Lassen County, California",71097
0500000US06037,"Los Angeles County, California",94484
0500000US06039,"Madera County, California",69614
0500000US06041,"Marin County, California",168429
0500000US06043,"Mariposa County, California",64590
0500000US06045,"Mendocino County, California",67340
0500000US06047,"Merced County, California",69764
0500000US06049,"Modoc County, California",54126
0500000US06051,"Mono County, California",80008
0500000US06053,"Monterey County, California",93636
0500000US06055,"Napa County, California",116922
0500000US06057,"Nevada County, California",86798
0500000US06059,"Orange County, California",117194
0500000US06061,"Placer County, California",109020
0500000US06063,"Plumas County, California",71648
0500000US06065,"Riverside County, California",84391
0500000US06067,"Sacramento County, California",85289
0500000US06069,"San Benito County, California",101057
0500000US06071,"San Bernardino County, California",77575
0500000US06073,"San Diego County, California",101302
0500000US06075,"San Francisco County, California",149265
0500000US06077,"San Joaquin County, California",81297
0500000US06079,"San Luis Obispo County, California",93008
0500000US06081,"San Mateo County, California",162639
0500000US06083,"Santa Barbara County, California",101100
0500000US06085,"Santa Clara County, California",154183
0500000US06087,"Santa Cruz County, California",109141
0500000US06089,"Shasta County, California",69130
0500000US06091,"Sierra County, California",67464
0500000US06093,"Siskiyou County, California",63208
0500000US06095,"Solano County, California",96029
0500000US06097,"Sonoma County, California",102483
0500000US06099,"Stanislaus County, California",75761
0500000US06101,"Sutter County, California",75716
0500000US06103,"Tehama County, California",58939
0500000US06105,"Trinity County, California",54856
0500000US06107,"Tulare County, California",66651
0500000US06109,"Tuolumne County, California",80361
0500000US06111,"Ventura County, California",110792
0500000US06113,"Yolo County, California",92571
0500000US06115,"Yuba County, California",67391
0500000US08001,"Adams County, Colorado",83368
0500000US08003,"Alamosa County, Colorado",54566
0500000US08005,"Arapahoe County, Colorado",101356
0500000US08007,"Archuleta County, Colorado",69659
0500000US08009,"Baca County, Colorado",51427
0500000US08011,"Bent County, Colorado",47944
0500000US08013,"Boulder County, Colorado",109446
0500000US08014,"Broomfield County, Colorado",115956
0500000US08015,"Chaffee County, Colorado",68388
0500000US08017,"Cheyenne County, Colorado",66044
0500000US08019,"Clear Creek County, Colorado",85799
0500000US08021,"Conejos County, Colorado",49027
0500000US08023,"Costilla County, Colorado",44416
0500000US08025,"Crowley County, Colorado",49717
0500000US08027,"Custer County, Colorado",60902
0500000US08029,"Delta County, Colorado",61762
0500000US08031,"Denver County, Colorado",93650
0500000US08033,"Dolores County, Colorado",58964
0500000US08035,"Douglas County, Colorado",141587
0500000US08037,"Eagle County, Colorado",112356
0500000US08039,"Elbert County, Colorado",119132
0500000US08041,"El Paso County, Colorado",84646
0500000US08043,"Fremont County, Colorado",61882
0500000US08045,"Garfield County, Colorado",87363
0500000US08047,"Gilpin County, Colorado",104764
0500000US08049,"Grand County, Colorado",79487
0500000US08051,"Gunnison County, Colorado",72352
0500000US08053,"Hinsdale County, Colorado",76124
0500000US08055,"Huerfano County, Colorado",50624
0500000US08057,"Jackson County, Colorado",56982
0500000US08059,"Jefferson County, Colorado",102153
0500000US08061,"Kiowa County, Colorado",57194
0500000US08063,"Kit Carson County, Colorado",70847
0500000US08065,"Lake County, Colorado",61605
0500000US08067,"La Plata County, Colorado",90042
0500000US08069,"Larimer County, Colorado",88703
0500000US08071,"Las Animas County, Colorado",55673
0500000US08073,"Lincoln County, Colorado",64123
0500000US08075,"Logan County, Colorado",62194
0500000US08077,"Mesa County, Colorado",68347
0500000US08079,"Mineral County, Colorado",75049
0500000US08081,"Moffat County, Colorado",69217
0500000US08083,"Montezuma County, Colorado",59138
0500000US08085,"Montrose County, Colorado",60935
0500000US08087,"Morgan County, Colorado",63086
0500000US08089,"Otero County, Colorado",46464
0500000US08091,"Ouray County, Colorado",76708
0500000US08093,"Park County, Colorado",83704
0500000US08095,"Phillips County, Colorado",72533
0500000US08097,"Pitkin County, Colorado",127167
0500000US08099,"Prowers County, Colorado",52645
0500000US08101,"Pueblo County, Colorado",60610
0500000US08103,"Rio Blanco County, Colorado",69760
0500000US08105,"Rio Grande County, Colorado",54102
0500000US08107,"Routt County, Colorado",98004
0500000US08109,"Saguache County, Colorado",52979
0500000US08111,"San Juan County, Colorado",65985
0500000US08113,"San Miguel County, Colorado",100545
0500000US08115,"Sedgwick County, Colorado",55788
0500000US08117,"Summit County, Colorado",95522
0500000US08119,"Teller County, Colorado",80352
0500000US08121,"Washington County, Colorado",64168
0500000US08123,"Weld County, Colorado",85911
0500000US08125,"Yuma County, Colorado",64166
0500000US09001,"Fairfield County, Connecticut",150822
0500000US09003,"Hartford County, Connecticut",98005
0500000US09005,"Litchfield County, Connecticut",103002
0500000US09007,"Middlesex County, Connecticut",108934
0500000US09009,"New Haven County, Connecticut",91559
0500000US09011,"New London County, Connecticut",92950
0500000US09013,"Tolland County, Connecticut",105815
0500000US09015,"Windham County, Connecticut",78556
0500000US10001,"Kent County, Delaware",73846
0500000US10003,"New Castle County, Delaware",93429
0500000US10005,"Sussex County, Delaware",81684
0500000US11001,"District of Columbia, District of Columbia",121698
0500000US12001,"Alachua County, Florida",70309
0500000US12003,"Baker County, Florida",73897
0500000US12005,"Bay County, Florida",69260
0500000US12007,"Bradford County, Florida",57048
0500000US12009,"Brevard County, Florida",73762
0500000US12011,"Broward County, Florida",82204
0500000US12013,"Calhoun County, Florida",53151
0500000US12015,"Charlotte County, Florida",66950
0500000US12017,"Citrus County, Florida",56165
0500000US12019,"Clay County, Florida",78932
0500000US12021,"Collier County, Florida",106539
0500000US12023,"Columbia County, Florida",62378
0500000US12027,"DeSoto County, Florida",48458
0500000US12029,"Dixie County, Florida",51366
0500000US12031,"Duval County, Florida",74331
0500000US12033,"Escambia County, Florida",65836
0500000US12035,"Flagler County, Florida",68685
0500000US12037,"Franklin County, Florida",66555
0500000US12039,"Gadsden County, Florida",52613
0500000US12041,"Gilchrist County, Florida",56315
0500000US12043,"Glades County, Florida",53454
0500000US12045,"Gulf County, Florida",57476
0500000US12047,"Hamilton County, Florida",48405
0500000US12049,"Hardee County, Florida",54735
0500000US12051,"Hendry County, Florida",56431
0500000US12053,"Hernando County, Florida",59196
0500000US12055,"Highlands County, Florida",55174
0500000US12057,"Hillsborough County, Florida",79843
0500000US12059,"Holmes County, Florida",49636
0500000US12061,"Indian River County, Florida",84405
0500000US12063,"Jackson County, Florida",51417
0500000US12065,"Jefferson County, Florida",61993
0500000US12067,"Lafayette County, Florida",58488
0500000US12069,"Lake County, Florida",66691
0500000US12071,"Lee County, Florida",77846
0500000US12073,"Leon County, Florida",73745
0500000US12075,"Levy County, Florida",50782
0500000US12077,"Liberty County, Florida",52360
0500000US12079,"Madison County, Florida",50429
0500000US12081,"Manatee County, Florida",78296
0500000US12083,"Marion County, Florida",58779
0500000US12085,"Martin County, Florida",93768
0500000US12086,"Miami-Dade County, Florida",75744
0500000US12087,"Monroe County, Florida",99583
0500000US12089,"Nassau County, Florida",88805
0500000US12091,"Okaloosa County, Florida",79157
0500000US12093,"Okeechobee County, Florida",54057
0500000US12095,"Orange County, Florida",78465
0500000US12097,"Osceola County, Florida",64322
0500000US12099,"Palm Beach County, Florida",94302
0500000US12101,"Pasco County, Florida",68215
0500000US12103,"Pinellas County, Florida",74155
0500000US12105,"Polk County, Florida",63849
0500000US12107,"Putnam County, Florida",48542
0500000US12109,"St. Johns County, Florida",107878
0500000US12111,"St. Lucie County, Florida",65145
0500000US12113,"Santa Rosa County, Florida",83602
0500000US12115,"Sarasota County, Florida",85906
0500000US12117,"Seminole County, Florida",86617
0500000US12119,"Sumter County, Florida",71108
0500000US12121,"Suwannee County, Florida",57639
0500000US12123,"Taylor County, Florida",49042
0500000US12125,"Union County, Florida",58432
0500000US12127,"Volusia County, Florida",64048
0500000US12129,"Wakulla County, Florida",69775
0500000US12131,"Walton County, Florida",81950
0500000US12133,"Washington County, Florida",50278
0500000US13001,"Appling County, Georgia",53155
0500000US13003,"Atkinson County, Georgia",51418
0500000US13005,"Bacon County, Georgia",50975
0500000US13007,"Baker County, Georgia",49161
0500000US13009,"Baldwin County, Georgia",53277
0500000US13011,"Banks County, Georgia",54357
0500000US13013,"Barrow County, Georgia",68855
0500000US13015,"Bartow County, Georgia",69380
0500000US13017,"Ben Hill County, Georgia",43178
0500000US13019,"Berrien County, Georgia",46957
0500000US13021,"Bibb County, Georgia",61037
0500000US13023,"Bleckley County, Georgia",52225
0500000US13025,"Brantley County, Georgia",49567
0500000US13027,"Brooks County, Georgia",55010
0500000US13029,"Bryan County, Georgia",86656
0500000US13031,"Bulloch County, Georgia",57557
0500000US13033,"Burke County, Georgia",56837
0500000US13035,"Butts County, Georgia",62880
0500000US13037,"Calhoun County, Georgia",43542
0500000US13039,"Camden County, Georgia",73885
0500000US13043,"Candler County, Georgia",48673
0500000US13045,"Carroll County, Georgia",65701
0500000US13047,"Catoosa County, Georgia",69662
0500000US13049,"Charlton County, Georgia",54130
0500000US13051,"Chatham County, Georgia",76999
0500000US13053,"Chattahoochee County, Georgia",66985
0500000US13055,"Chattooga County, Georgia",48248
0500000US13057,"Cherokee County, Georgia",97413
0500000US13059,"Clarke County, Georgia",57133
0500000US13061,"Clay County, Georgia",37195
0500000US13063,"Clayton County, Georgia",57211
0500000US13065,"Clinch County, Georgia",40782
0500000US13067,"Cobb County, Georgia",100977
0500000US13069,"Coffee County, Georgia",54061
0500000US13071,"Colquitt County, Georgia",52112
0500000US13073,"Columbia County, Georgia",95348
0500000US13075,"Cook County, Georgia",51421
0500000US13077,"Coweta County, Georgia",87232
0500000US13079,"Crawford County, Georgia",54839
0500000US13081,"Crisp County, Georgia",55440
0500000US13083,"Dade County, Georgia",61723
0500000US13085,"Dawson County, Georgia",88066
0500000US13087,"Decatur County, Georgia",52656
0500000US13089,"DeKalb County, Georgia",86969
0500000US13091,"Dodge County, Georgia",49528
0500000US13093,"Dooly County, Georgia",50609
0500000US13095,"Dougherty County, Georgia",52793
0500000US13097,"Douglas County, Georgia",74458
0500000US13099,"Early County, Georgia",43460
0500000US13101,"Echols County, Georgia",49422
0500000US13103,"Effingham County, Georgia",81984
0500000US13105,"Elbert County, Georgia",54795
0500000US13107,"Emanuel County, Georgia",47265
0500000US13109,"Evans County, Georgia",53977
0500000US13111,"Fannin County, Georgia",61591
0500000US13113,"Fayette County, Georgia",115469
0500000US13115,"Floyd County, Georgia",65817
0500000US13117,"Forsyth County, Georgia",122580
0500000US13119,"Franklin County, Georgia",56325
0500000US13121,"Fulton County, Georgia",106342
0500000US13123,"Gilmer County, Georgia",63845
0500000US13125,"Glascock County, Georgia",53252
0500000US13127,"Glynn County, Georgia",76225
0500000US13129,"Gordon County, Georgia",60189
0500000US13131,"Grady County, Georgia",59294
0500000US13133,"Greene County, Georgia",86585
0500000US13135,"Gwinnett County, Georgia",87966
0500000US13137,"Habersham County, Georgia",60811
0500000US13139,"Hall County, Georgia",80217
0500000US13141,"Hancock County, Georgia",49666
0500000US13143,"Haralson County, Georgia",62798
0500000US13145,"Harris County, Georgia",93383
0500000US13147,"Hart County, Georgia",56138
0500000US13149,"Heard County, Georgia",55588
0500000US13151,"Henry County, Georgia",81508
0500000US13153,"Houston County, Georgia",74589
0500000US13155,"Irwin County, Georgia",46713
0500000US13157,"Jackson County, Georgia",77238
0500000US13159,"Jasper County, Georgia",53984
0500000US13161,"Jeff Davis County, Georgia",48360
0500000US13163,"Jefferson County, Georgia",47611
0500000US13165,"Jenkins County, Georgia",39590
0500000US13167,"Johnson County, Georgia",50453
0500000US13169,"Jones County, Georgia",67116
0500000US13171,"Lamar County, Georgia",55558
0500000US13173,"Lanier County, Georgia",48129
0500000US13175,"Laurens County, Georgia",53522
0500000US13177,"Lee County, Georgia",80451
0500000US13179,"Liberty County, Georgia",55308
0500000US13181,"Lincoln County, Georgia",59399
0500000US13183,"Long County, Georgia",62282
0500000US13185,"Lowndes County, Georgia",61069
0500000US13187,"Lumpkin County, Georgia",63638
0500000US13189,"McDuffie County, Georgia",53918
0500000US13191,"McIntosh County, Georgia",61928
0500000US13193,"Macon County, Georgia",42162
0500000US13195,"Madison County, Georgia",64386
0500000US13197,"Marion County, Georgia",55633
0500000US13199,"Meriwether County, Georgia",49918
0500000US13201,"Miller County, Georgia",53903
0500000US13205,"Mitchell County, Georgia",50083
0500000US13207,"Monroe County, Georgia",86538
0500000US13209,"Montgomery County, Georgia",62630
0500000US13211,"Morgan County, Georgia",80927
0500000US13213,"Murray County, Georgia",56210
0500000US13215,"Muscogee County, Georgia",63902
0500000US13217,"Newton County, Georgia",68715
0500000US13219,"Oconee County, Georgia",114627
0500000US13221,"Oglethorpe County, Georgia",57313
0500000US13223,"Paulding County, Georgia",79608
0500000US13225,"Peach County, Georgia",58513
0500000US13227,"Pickens County, Georgia",78904
0500000US13229,"Pierce County, Georgia",58000
0500000US13231,"Pike County, Georgia",75994
0500000US13233,"Polk County, Georgia",62448
0500000US13235,"Pulaski County, Georgia",53817
0500000US13237,"Putnam County, Georgia",71214
0500000US13239,"Quitman County, Georgia",42687
0500000US13241,"Rabun County, Georgia",65081
0500000US13243,"Randolph County, Georgia",48753
0500000US13245,"Richmond County, Georgia",56168
0500000US13247,"Rockdale County, Georgia",72656
0500000US13249,"Schley County, Georgia",53252
0500000US13251,"Screven County, Georgia",53853
0500000US13253,"Seminole County, Georgia",59508
0500000US13255,"Spalding County, Georgia",57378
0500000US13257,"Stephens County, Georgia",57274
0500000US13259,"Stewart County, Georgia",43431
0500000US13261,"Sumter County, Georgia",51026
0500000US13263,"Talbot County, Georgia",48059
0500000US13265,"Taliaferro County, Georgia",48264
0500000US13267,"Tattnall County, Georgia",56029
0500000US13269,"Taylor County, Georgia",45812
0500000US13271,"Telfair County, Georgia",42889
0500000US13273,"Terrell County, Georgia",50475
0500000US13275,"Thomas County, Georgia",63449
0500000US13277,"Tift County, Georgia",57342
0500000US13279,"Toombs County, Georgia",61425
0500000US13281,"Towns County, Georgia",56099
0500000US13283,"Treutlen County, Georgia",57269
0500000US13285,"Troup County, Georgia",58739
0500000US13287,"Turner County, Georgia",49400
0500000US13289,"Twiggs County, Georgia",47028
0500000US13291,"Union County, Georgia",62148
0500000US13293,"Upson County, Georgia",50973
0500000US13295,"Walker County, Georgia",59070
0500000US13297,"Walton County, Georgia",74824
0500000US13299,"Ware County, Georgia",52382
0500000US13301,"Warren County, Georgia",50057
0500000US13303,"Washington County, Georgia",51815
0500000US13305,"Wayne County, Georgia",58410
0500000US13307,"Webster County, Georgia",49673
0500000US13309,"Wheeler County, Georgia",36940
0500000US13311,"White County, Georgia",63292
0500000US13313,"Whitfield County, Georgia",64923
0500000US13315,"Wilcox County, Georgia",49097
0500000US13317,"Wilkes County, Georgia",55493
0500000US13319,"Wilkinson County, Georgia",52735
0500000US13321,"Worth County, Georgia",59085
0500000US15001,"Hawaii County, Hawaii",78642
0500000US15003,"Honolulu County, Hawaii",105071
0500000US15005,"Kalawao County, Hawaii",74364
0500000US15007,"Kauai County, Hawaii",91741
0500000US15009,"Maui County, Hawaii",99286
0500000US16001,"Ada County, Idaho",84735
0500000US16003,"Adams County, Idaho",58034
0500000US16005,"Bannock County, Idaho",65878
0500000US16007,"Bear Lake County, Idaho",63819
0500000US16009,"Benewah County, Idaho",57428
0500000US16011,"Bingham County, Idaho",62343
0500000US16013,"Blaine County, Idaho",78091
0500000US16015,"Boise County, Idaho",69466
0500000US16017,"Bonner County, Idaho",64997
0500000US16019,"Bonneville County, Idaho",77064
0500000US16021,"Boundary County, Idaho",63678
0500000US16023,"Butte County, Idaho",60763
0500000US16025,"Camas County, Idaho",71116
0500000US16027,"Canyon County, Idaho",60294
